paper_id,day,title,authors_short,keyword_hits,paper_page,pdf
3409,2026-06-07,Remote Sensing Image Super-Resolution for Imbalanced Textures: A Texture-Aware Diffusion Framework,"Enzhuo Zhang, Sijie Zhao, Dilxat Muhtar et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Remote_Sensing_Image_Super-Resolution_for_Imbalanced_Textures_A_Texture-Aware_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Remote_Sensing_Image_Super-Resolution_for_Imbalanced_Textures_A_Texture-Aware_Diffusion_CVPR_2026_paper.pdf
3426,2026-06-07,DreamOmni2: Multimodal Instruction-based Generation and Editing,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Xia_DreamOmni2_Multimodal_Instruction-based_Generation_and_Editing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Xia_DreamOmni2_Multimodal_Instruction-based_Generation_and_Editing_CVPR_2026_paper.pdf
3431,2026-06-07,Decision Boundary-aware Generation for Long-tailed Learning,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Yang_Decision_Boundary-aware_Generation_for_Long-tailed_Learning_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Decision_Boundary-aware_Generation_for_Long-tailed_Learning_CVPR_2026_paper.pdf
3433,2026-06-07,DeCo: Frequency-Decoupled Pixel Diffusion for End-to-End Image Generation,"Zehong Ma, Longhui Wei, Shuai Wang et al.",diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Ma_DeCo_Frequency-Decoupled_Pixel_Diffusion_for_End-to-End_Image_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ma_DeCo_Frequency-Decoupled_Pixel_Diffusion_for_End-to-End_Image_Generation_CVPR_2026_paper.pdf
3436,2026-06-07,Test-Time Instance-Specific Parameter Composition: A New Paradigm for Adaptive Generative Modeling,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Tran_Test-Time_Instance-Specific_Parameter_Composition_A_New_Paradigm_for_Adaptive_Generative_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Tran_Test-Time_Instance-Specific_Parameter_Composition_A_New_Paradigm_for_Adaptive_Generative_CVPR_2026_paper.pdf
3440,2026-06-07,Bridging Fidelity-Reality with Controllable One-Step Diffusion for Image Super-Resolution,"Hao Chen, Junyang Chen, Jinshan Pan et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Bridging_Fidelity-Reality_with_Controllable_One-Step_Diffusion_for_Image_Super-Resolution_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Bridging_Fidelity-Reality_with_Controllable_One-Step_Diffusion_for_Image_Super-Resolution_CVPR_2026_paper.pdf
3446,2026-06-07,Landscape-Awareness for Geometric View Diffusion Model,"Yan-Ting Chen, Hao-Wei Chen, Tsu-Ching Hsiao et al.",diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Chen_Landscape-Awareness_for_Geometric_View_Diffusion_Model_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_Landscape-Awareness_for_Geometric_View_Diffusion_Model_CVPR_2026_paper.pdf
3450,2026-06-07,RenderFlow: Single-Step Neural Rendering via Flow Matching,"Shenghao Zhang, Runtao Liu, Christopher Schroers et al.",flow,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_RenderFlow_Single-Step_Neural_Rendering_via_Flow_Matching_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_RenderFlow_Single-Step_Neural_Rendering_via_Flow_Matching_CVPR_2026_paper.pdf
3451,2026-06-07,RDF-MIG: A Robust Diffusion Framework for Masked Image Generation to Augment Semantic Segmentation and Change Detection,"Zian Cao, Wei Wei, Qingshan Gao et al.",diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Cao_RDF-MIG_A_Robust_Diffusion_Framework_for_Masked_Image_Generation_to_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Cao_RDF-MIG_A_Robust_Diffusion_Framework_for_Masked_Image_Generation_to_CVPR_2026_paper.pdf
3456,2026-06-07,Robo-SGG: Exploiting Layout-Oriented Normalization and Restitution Can Improve Robust Scene Graph Generation,,generative,https://openaccess.thecvf.com/content/CVPR2026/html/Lv_Robo-SGG_Exploiting_Layout-Oriented_Normalization_and_Restitution_Can_Improve_Robust_Scene_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lv_Robo-SGG_Exploiting_Layout-Oriented_Normalization_and_Restitution_Can_Improve_Robust_Scene_CVPR_2026_paper.pdf
