paper_id,day,title,authors_short,task_cluster,modality,method_family,relevance_tier,keyword_hits,paper_page,pdf
2670,2026-06-07,DreamSR: Towards Ultra-High-Resolution Image Super-Resolution via a Receptive-Field Enhanced Diffusion Transformer,"Qingji Dong, Hang Dong, Mingqin Chen et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Transformer,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Dong_DreamSR_Towards_Ultra-High-Resolution_Image_Super-Resolution_via_a_Receptive-Field_Enhanced_Diffusion_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Dong_DreamSR_Towards_Ultra-High-Resolution_Image_Super-Resolution_via_a_Receptive-Field_Enhanced_Diffusion_CVPR_2026_paper.pdf
2676,2026-06-07,PR-IQA: Partial-Reference Image Quality Assessment for Diffusion-Based Novel View Synthesis,"Inseong Choi, Siwoo Lee, Seung-Hun Nam et al.",3D、多视图与场景生成,3D/多视图,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Choi_PR-IQA_Partial-Reference_Image_Quality_Assessment_for_Diffusion-Based_Novel_View_Synthesis_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Choi_PR-IQA_Partial-Reference_Image_Quality_Assessment_for_Diffusion-Based_Novel_View_Synthesis_CVPR_2026_paper.pdf
2686,2026-06-07,From Events to Clarity: The Event-Guided Diffusion Framework for Dehazing,"Ling Wang, Yunfan Lu, Wenzong Ma et al.",对齐、安全与可控生成,视频,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_From_Events_to_Clarity_The_Event-Guided_Diffusion_Framework_for_Dehazing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_From_Events_to_Clarity_The_Event-Guided_Diffusion_Framework_for_Dehazing_CVPR_2026_paper.pdf
2689,2026-06-07,Visual Diffusion Models are Geometric Solvers,"Nir Goren, Shai Yehezkel, Omer Dahary et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Goren_Visual_Diffusion_Models_are_Geometric_Solvers_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Goren_Visual_Diffusion_Models_are_Geometric_Solvers_CVPR_2026_paper.pdf
2690,2026-06-07,Image Diffusion Preview with Consistency Solver,"Fu-Yun Wang, Hao Zhou, Liangzhe Yuan et al.",效率、训练与压缩,3D/多视图,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_Image_Diffusion_Preview_with_Consistency_Solver_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Image_Diffusion_Preview_with_Consistency_Solver_CVPR_2026_paper.pdf
2703,2026-06-07,Efficient and Training-Free Single-Image Diffusion Models,"Haojun Qiu, Kiriakos N. Kutulakos, David B. Lindell",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Qiu_Efficient_and_Training-Free_Single-Image_Diffusion_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Qiu_Efficient_and_Training-Free_Single-Image_Diffusion_Models_CVPR_2026_paper.pdf
2712,2026-06-07,Reviving ConvNeXt for Efficient Convolutional Diffusion Models,"Taesung Kwon, Lorenzo Bianchi, Lennart Wittke et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Kwon_Reviving_ConvNeXt_for_Efficient_Convolutional_Diffusion_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Kwon_Reviving_ConvNeXt_for_Efficient_Convolutional_Diffusion_Models_CVPR_2026_paper.pdf
2727,2026-06-07,ReCoFuse: Ultra-Robust Image Fusion via Restorative Multi-Modal Diffusion Reciprocal Coupling,"Hao Zhang, Shuhan Yang, Linfeng Tang et al.",多模态、VLM 与语言桥接,多模态/VLM,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_ReCoFuse_Ultra-Robust_Image_Fusion_via_Restorative_Multi-Modal_Diffusion_Reciprocal_Coupling_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_ReCoFuse_Ultra-Robust_Image_Fusion_via_Restorative_Multi-Modal_Diffusion_Reciprocal_Coupling_CVPR_2026_paper.pdf
2728,2026-06-07,The Drift Kernel: Why Diffusion Models Change Even When Told Not To,"Gokul Srinath Seetha Ram, Rashmi Elavazhagan",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Ram_The_Drift_Kernel_Why_Diffusion_Models_Change_Even_When_Told_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ram_The_Drift_Kernel_Why_Diffusion_Models_Change_Even_When_Told_CVPR_2026_paper.pdf
2729,2026-06-07,Accelerating Autoregressive Video Diffusion via History-Guided Cache and Residual Correction,"Kepan Nan, Wangbo Zhao, Penghao Zhou et al.",效率、训练与压缩,视频,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Nan_Accelerating_Autoregressive_Video_Diffusion_via_History-Guided_Cache_and_Residual_Correction_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Nan_Accelerating_Autoregressive_Video_Diffusion_via_History-Guided_Cache_and_Residual_Correction_CVPR_2026_paper.pdf
2730,2026-06-07,Personalized Federated Training of Diffusion Models with Privacy Guarantees,"Kumar Kshitij Patel, Bingqing Jiang, A F M Mahfuzul Kabir et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Patel_Personalized_Federated_Training_of_Diffusion_Models_with_Privacy_Guarantees_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Patel_Personalized_Federated_Training_of_Diffusion_Models_with_Privacy_Guarantees_CVPR_2026_paper.pdf
2738,2026-06-07,What Is It Like to Be a Noise? An Entropy-based Gaussian Noise Regularization for Diffusion Models,"Pascal Chang, Kai Lascheit, Jingwei Tang et al.",3D、多视图与场景生成,3D/多视图,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Chang_What_Is_It_Like_to_Be_a_Noise_An_Entropy-based_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chang_What_Is_It_Like_to_Be_a_Noise_An_Entropy-based_CVPR_2026_paper.pdf
2742,2026-06-07,DDT: Decoupled Diffusion Transformer,"Shuai Wang, Zhi Tian, Weilin Huang et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Transformer,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_DDT_Decoupled_Diffusion_Transformer_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_DDT_Decoupled_Diffusion_Transformer_CVPR_2026_paper.pdf
2752,2026-06-07,Structure-to-Intensity Diffusion for Adverse-Weather LiDAR Generation,"Peiyang Ni, Longyu Yang, Lu Zhang et al.",科学、医学与特殊传感,科学/医学/特殊传感,Diffusion Model,标题强相关: diffusion/denoising,diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Ni_Structure-to-Intensity_Diffusion_for_Adverse-Weather_LiDAR_Generation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ni_Structure-to-Intensity_Diffusion_for_Adverse-Weather_LiDAR_Generation_CVPR_2026_paper.pdf
2785,2026-06-07,DeltaQuant: 4-bit Video Diffusion Models with Spatiotemporal Delta Smoothing,"Xingyang Li, Samuel Tesfai, Zhekai Zhang et al.",视频、音频与时序生成,视频,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Li_DeltaQuant_4-bit_Video_Diffusion_Models_with_Spatiotemporal_Delta_Smoothing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_DeltaQuant_4-bit_Video_Diffusion_Models_with_Spatiotemporal_Delta_Smoothing_CVPR_2026_paper.pdf
2787,2026-06-07,Otil: Accelerating Diffusion Model Inference via Communication-Efficient Multi-GPU Parallelism,"Xin Li, Shujun Tian, Tao Lu et al.",效率、训练与压缩,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion,https://openaccess.thecvf.com/content/CVPR2026/html/Li_Otil_Accelerating_Diffusion_Model_Inference_via_Communication-Efficient_Multi-GPU_Parallelism_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Otil_Accelerating_Diffusion_Model_Inference_via_Communication-Efficient_Multi-GPU_Parallelism_CVPR_2026_paper.pdf
2789,2026-06-07,VDE: Training-Free Accelerating Rectified Flow Model via Velocity Decomposition and Estimation,"Junwen Tan, Jinglin Liang, Hongyuan Chen et al.",效率、训练与压缩,图像,Flow / MeanFlow,标题强相关: flow family,flow,https://openaccess.thecvf.com/content/CVPR2026/html/Tan_VDE_Training-Free_Accelerating_Rectified_Flow_Model_via_Velocity_Decomposition_and_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Tan_VDE_Training-Free_Accelerating_Rectified_Flow_Model_via_Velocity_Decomposition_and_CVPR_2026_paper.pdf
2792,2026-06-07,HiCoGen: Hierarchical Compositional Text-to-Image Generation in Diffusion Models via Reinforcement Learning,"Hongji Yang, Yucheng Zhou, Wencheng Han et al.",图像恢复、低层视觉与逆问题,图像,Diffusion Model,标题强相关: diffusion/denoising,diffusion; generative,https://openaccess.thecvf.com/content/CVPR2026/html/Yang_HiCoGen_Hierarchical_Compositional_Text-to-Image_Generation_in_Diffusion_Models_via_Reinforcement_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_HiCoGen_Hierarchical_Compositional_Text-to-Image_Generation_in_Diffusion_Models_via_Reinforcement_CVPR_2026_paper.pdf
